"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"HIVB.tuberculosisTbClinic","HIVB.tuberculosisTbClinic","","","",1,1,"","","","string {[]} {[]}
","Tuberculosis (TB) clinic","The client tested at a TB clinic","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.B#DE28
",,,,"HIVB.tuberculosisTbClinic",1,1,"",""
"HIVB.currentlyPregnant","HIVB.currentlyPregnant","","","",1,1,"","","","string {[]} {[]}
","Currently pregnant","Client is currently pregnant","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.B#DE29
",,,,"HIVB.currentlyPregnant",1,1,"",""
"HIVB.gestationalAge","HIVB.gestationalAge","","","",1,1,"","","","string {[]} {[]}
","Gestational age","Gestational age in weeks and/or days depending on the source of gestational age","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.B#DE30
",,,,"HIVB.gestationalAge",1,1,"",""
"HIVB.expectedDateOfDeliveryEdd","HIVB.expectedDateOfDeliveryEdd","","","",1,1,"","","","string {[]} {[]}
","Expected date of delivery (EDD)","Expected date of delivery based on gestational age","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.B#DE31
",,,,"HIVB.expectedDateOfDeliveryEdd",1,1,"",""
"HIVB.breastfeeding","HIVB.breastfeeding","","","",1,1,"","","","string {[]} {[]}
","Breastfeeding","Infant is being breastfed by mother","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.B#DE32
",,,,"HIVB.breastfeeding",1,1,"",""
"HIVB.partnerHivStatusReported","HIVB.partnerHivStatusReported","","","",1,1,"","","","string {[]} {[]}
","Partner HIV status (reported)","The HIV status of the clients partner.","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.B#DE33
",,,,"HIVB.partnerHivStatusReported",1,1,"",""
"HIVB.cpHivPositive","HIVB.cpHivPositive","","","",1,1,"","","","string {[]} {[]}
","HIV-positive","Clients partner is HIV-positive","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.B#DE34
",,,,"HIVB.cpHivPositive",1,1,"",""
"HIVB.cpHivNegative","HIVB.cpHivNegative","","","",1,1,"","","","string {[]} {[]}
","HIV-negative","Clients partner is HIV-negative","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.B#DE35
",,,,"HIVB.cpHivNegative",1,1,"",""
"HIVB.cpUnknown","HIVB.cpUnknown","","","",1,1,"","","","string {[]} {[]}
","Unknown","Dont know HIV status - client does not know partners HIV status","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.B#DE36
",,,,"HIVB.cpUnknown",1,1,"",""
"HIVB.partnerIsFromAKeyPopulation","HIVB.partnerIsFromAKeyPopulation","","","",1,1,"","","","string {[]} {[]}
","Partner is from a key population*","Clients partner is a member of a key population, that has an increased risk of HIV","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart/CodeSystem/HIV.B#DE37
",,,,"HIVB.partnerIsFromAKeyPopulation",1,1,"",""
